Date,Index,Country,Close,Currency
2001-01-01,bovespa,brazil,15425.34,BRL
2001-01-02,bovespa,brazil,16599.42,BRL
2001-01-03,bovespa,brazil,16675.06,BRL
2001-01-04,bovespa,brazil,16409.81,BRL
2001-01-07,bovespa,brazil,16562.14,BRL
2001-01-08,bovespa,brazil,16975.64,BRL
2001-01-09,bovespa,brazil,16918.57,BRL
2001-01-10,bovespa,brazil,17023.58,BRL
2001-01-11,bovespa,brazil,16850.09,BRL
2001-01-14,bovespa,brazil,16962.75,BRL
2001-01-15,bovespa,brazil,16720.98,BRL
2001-01-16,bovespa,brazil,17191.02,BRL
2001-01-17,bovespa,brazil,17521.46,BRL
2001-01-18,bovespa,brazil,17530.09,BRL
2001-01-21,bovespa,brazil,17391.67,BRL
2001-01-22,bovespa,brazil,17832.13,BRL
2001-01-23,bovespa,brazil,17771.76,BRL
2001-01-25,bovespa,brazil,17889.05,BRL
2001-01-28,bovespa,brazil,17883.38,BRL
2001-01-29,bovespa,brazil,17722.58,BRL
2001-01-30,bovespa,brazil,17672.77,BRL
2001-01-31,bovespa,brazil,17038.74,BRL
2001-02-01,bovespa,brazil,16914.96,BRL
2001-02-04,bovespa,brazil,16731.24,BRL
2001-02-05,bovespa,brazil,17006.77,BRL
2001-02-06,bovespa,brazil,16812.35,BRL
2001-02-07,bovespa,brazil,17243.3,BRL
2001-02-08,bovespa,brazil,17138.4,BRL
2001-02-11,bovespa,brazil,16917.06,BRL
2001-02-12,bovespa,brazil,17095.78,BRL
2001-02-13,bovespa,brazil,17120.05,BRL
2001-02-14,bovespa,brazil,16937.19,BRL
2001-02-15,bovespa,brazil,16259.05,BRL
2001-02-18,bovespa,brazil,16060.76,BRL
2001-02-19,bovespa,brazil,15910.57,BRL
2001-02-20,bovespa,brazil,15593.86,BRL
2001-02-21,bovespa,brazil,15910.36,BRL
2001-02-22,bovespa,brazil,16157.75,BRL
2001-02-27,bovespa,brazil,15891.41,BRL
2001-02-28,bovespa,brazil,16416.58,BRL
2001-03-01,bovespa,brazil,16581.0,BRL
2001-03-04,bovespa,brazil,16537.24,BRL
2001-03-05,bovespa,brazil,16324.33,BRL
2001-03-06,bovespa,brazil,16395.21,BRL
2001-03-07,bovespa,brazil,16226.71,BRL
2001-03-08,bovespa,brazil,16123.44,BRL
2001-03-11,bovespa,brazil,15527.26,BRL
2001-03-12,bovespa,brazil,15584.14,BRL
2001-03-13,bovespa,brazil,15244.9,BRL
2001-03-14,bovespa,brazil,15060.87,BRL
2001-03-15,bovespa,brazil,15237.03,BRL
2001-03-18,bovespa,brazil,14835.9,BRL
2001-03-19,bovespa,brazil,14903.36,BRL
2001-03-20,bovespa,brazil,14852.68,BRL
2001-03-21,bovespa,brazil,14067.27,BRL
2001-03-22,bovespa,brazil,14435.08,BRL
2001-03-25,bovespa,brazil,14712.04,BRL
2001-03-26,bovespa,brazil,14835.4,BRL
2001-03-27,bovespa,brazil,14631.88,BRL
2001-03-28,bovespa,brazil,14282.18,BRL
2001-03-29,bovespa,brazil,14438.45,BRL
2001-04-01,bovespa,brazil,13981.3,BRL
2001-04-02,bovespa,brazil,13736.61,BRL
2001-04-03,bovespa,brazil,13854.76,BRL
2001-04-04,bovespa,brazil,14442.51,BRL
2001-04-05,bovespa,brazil,14484.51,BRL
2001-04-08,bovespa,brazil,14718.99,BRL
2001-04-09,bovespa,brazil,15047.76,BRL
2001-04-10,bovespa,brazil,14818.83,BRL
2001-04-11,bovespa,brazil,14969.37,BRL
2001-04-15,bovespa,brazil,14444.59,BRL
2001-04-16,bovespa,brazil,14336.9,BRL
2001-04-17,bovespa,brazil,14955.36,BRL
2001-04-18,bovespa,brazil,14431.08,BRL
2001-04-19,bovespa,brazil,13696.42,BRL
2001-04-22,bovespa,brazil,13892.65,BRL
2001-04-23,bovespa,brazil,14068.0,BRL
2001-04-24,bovespa,brazil,14162.75,BRL
2001-04-25,bovespa,brazil,14757.02,BRL
2001-04-26,bovespa,brazil,14927.95,BRL
2001-04-29,bovespa,brazil,14917.54,BRL
2001-05-01,bovespa,brazil,14897.24,BRL
2001-05-02,bovespa,brazil,15141.91,BRL
2001-05-03,bovespa,brazil,15092.76,BRL
2001-05-06,bovespa,brazil,14875.0,BRL
2001-05-07,bovespa,brazil,14747.41,BRL
2001-05-08,bovespa,brazil,14778.98,BRL
2001-05-09,bovespa,brazil,14993.46,BRL
2001-05-10,bovespa,brazil,14493.2,BRL
2001-05-13,bovespa,brazil,14236.94,BRL
2001-05-14,bovespa,brazil,14226.33,BRL
2001-05-15,bovespa,brazil,14714.25,BRL
2001-05-16,bovespa,brazil,14793.51,BRL
2001-05-17,bovespa,brazil,14884.06,BRL
2001-05-20,bovespa,brazil,15127.91,BRL
2001-05-21,bovespa,brazil,14828.87,BRL
2001-05-22,bovespa,brazil,14691.61,BRL
2001-05-23,bovespa,brazil,14523.21,BRL
2001-05-24,bovespa,brazil,14310.06,BRL
2001-05-27,bovespa,brazil,14302.02,BRL
2001-05-28,bovespa,brazil,14453.91,BRL
2001-05-29,bovespa,brazil,14489.36,BRL
2001-05-30,bovespa,brazil,14649.98,BRL
2001-05-31,bovespa,brazil,14791.97,BRL
2001-06-03,bovespa,brazil,15103.86,BRL
2001-06-04,bovespa,brazil,15394.82,BRL
2001-06-05,bovespa,brazil,15328.83,BRL
2001-06-06,bovespa,brazil,15464.06,BRL
2001-06-07,bovespa,brazil,15366.25,BRL
2001-06-10,bovespa,brazil,15224.19,BRL
2001-06-11,bovespa,brazil,15173.07,BRL
2001-06-12,bovespa,brazil,15403.4,BRL
2001-06-14,bovespa,brazil,14985.01,BRL
2001-06-17,bovespa,brazil,14355.42,BRL
2001-06-18,bovespa,brazil,14400.73,BRL
2001-06-19,bovespa,brazil,14571.24,BRL
2001-06-20,bovespa,brazil,14822.98,BRL
2001-06-21,bovespa,brazil,14682.1,BRL
2001-06-24,bovespa,brazil,14539.6,BRL
2001-06-25,bovespa,brazil,14459.99,BRL
2001-06-26,bovespa,brazil,14308.0,BRL
2001-06-27,bovespa,brazil,14390.97,BRL
2001-06-28,bovespa,brazil,14559.79,BRL
2001-07-01,bovespa,brazil,14555.0,BRL
2001-07-02,bovespa,brazil,14352.77,BRL
2001-07-03,bovespa,brazil,14056.0,BRL
2001-07-04,bovespa,brazil,14047.66,BRL
2001-07-05,bovespa,brazil,13906.76,BRL
2001-07-09,bovespa,brazil,13569.79,BRL
2001-07-10,bovespa,brazil,13811.84,BRL
2001-07-11,bovespa,brazil,13916.0,BRL
2001-07-12,bovespa,brazil,14078.46,BRL
2001-07-15,bovespa,brazil,13811.39,BRL
2001-07-16,bovespa,brazil,14168.65,BRL
2001-07-17,bovespa,brazil,13790.88,BRL
2001-07-18,bovespa,brazil,13761.51,BRL
2001-07-19,bovespa,brazil,14092.32,BRL
2001-07-22,bovespa,brazil,14067.72,BRL
2001-07-23,bovespa,brazil,13737.59,BRL
2001-07-24,bovespa,brazil,13955.89,BRL
2001-07-25,bovespa,brazil,13810.29,BRL
2001-07-26,bovespa,brazil,13910.26,BRL
2001-07-29,bovespa,brazil,13703.61,BRL
2001-07-30,bovespa,brazil,13754.16,BRL
2001-07-31,bovespa,brazil,13743.06,BRL
2001-08-01,bovespa,brazil,13822.72,BRL
2001-08-02,bovespa,brazil,13838.42,BRL
2001-08-05,bovespa,brazil,14046.82,BRL
2001-08-06,bovespa,brazil,14035.91,BRL
2001-08-07,bovespa,brazil,13919.18,BRL
2001-08-08,bovespa,brazil,13834.19,BRL
2001-08-09,bovespa,brazil,13915.09,BRL
2001-08-12,bovespa,brazil,13771.36,BRL
2001-08-13,bovespa,brazil,13829.49,BRL
2001-08-14,bovespa,brazil,13658.6,BRL
2001-08-15,bovespa,brazil,13509.47,BRL
2001-08-16,bovespa,brazil,13044.21,BRL
2001-08-19,bovespa,brazil,13115.48,BRL
2001-08-20,bovespa,brazil,12891.7,BRL
2001-08-21,bovespa,brazil,12952.23,BRL
2001-08-22,bovespa,brazil,12750.79,BRL
2001-08-23,bovespa,brazil,13001.12,BRL
2001-08-26,bovespa,brazil,12995.85,BRL
2001-08-27,bovespa,brazil,13018.1,BRL
2001-08-28,bovespa,brazil,13076.99,BRL
2001-08-29,bovespa,brazil,12892.39,BRL
2001-08-30,bovespa,brazil,12840.6,BRL
2001-09-02,bovespa,brazil,12800.03,BRL
2001-09-03,bovespa,brazil,12766.88,BRL
2001-09-04,bovespa,brazil,12590.92,BRL
2001-09-05,bovespa,brazil,12255.29,BRL
2001-09-09,bovespa,brazil,11922.39,BRL
2001-09-10,bovespa,brazil,10827.96,BRL
2001-09-11,bovespa,brazil,11113.5,BRL
2001-09-12,bovespa,brazil,10306.26,BRL
