data,confirmed brazil,deaths brazil,recovered brazil
2020-01-30,0,0,0.0
2020-01-31,0,0,0.0
2020-02-01,0,0,0.0
2020-02-02,0,0,0.0
2020-02-03,0,0,0.0
2020-02-04,0,0,0.0
2020-02-05,0,0,0.0
2020-02-06,0,0,0.0
2020-02-07,0,0,0.0
2020-02-08,0,0,0.0
2020-02-09,0,0,0.0
2020-02-10,0,0,0.0
2020-02-11,0,0,0.0
2020-02-12,0,0,0.0
2020-02-13,0,0,0.0
2020-02-14,0,0,0.0
2020-02-15,0,0,0.0
2020-02-16,0,0,0.0
2020-02-17,0,0,0.0
2020-02-18,0,0,0.0
2020-02-19,0,0,0.0
2020-02-20,0,0,0.0
2020-02-21,0,0,0.0
2020-02-22,0,0,0.0
2020-02-23,0,0,0.0
2020-02-24,0,0,0.0
2020-02-25,0,0,0.0
2020-02-26,1,0,0.0
2020-02-27,0,0,0.0
2020-02-28,0,0,0.0
2020-02-29,1,0,0.0
2020-03-01,0,0,0.0
2020-03-02,0,0,0.0
2020-03-03,0,0,0.0
2020-03-04,1,0,0.0
2020-03-05,4,0,0.0
2020-03-06,6,0,0.0
2020-03-07,6,0,0.0
2020-03-08,6,0,0.0
2020-03-09,0,0,0.0
2020-03-10,9,0,0.0
2020-03-11,18,0,0.0
2020-03-12,25,0,0.0
2020-03-13,21,0,0.0
2020-03-14,23,0,0.0
2020-03-15,79,0,0.0
2020-03-16,34,0,1.0
2020-03-17,57,1,1.0
2020-03-18,137,3,0.0
2020-03-19,193,2,0.0
2020-03-20,283,5,0.0
2020-03-21,224,7,0.0
2020-03-22,418,7,0.0
2020-03-23,345,9,0.0
2020-03-24,310,12,0.0
2020-03-25,232,11,0.0
2020-03-26,482,20,4.0
2020-03-27,502,15,0.0
2020-03-28,486,22,0.0
2020-03-29,353,22,0.0
2020-03-30,323,23,114.0
2020-03-31,1138,42,7.0
2020-04-01,1117,40,0.0
2020-04-02,1076,58,0.0
