Date,Index,Country,Close,Currency
2020-01-01,bovespa,brazil,118573.1,BRL
2020-01-02,bovespa,brazil,117706.66,BRL
2020-01-05,bovespa,brazil,116877.92,BRL
2020-01-06,bovespa,brazil,116661.94,BRL
2020-01-07,bovespa,brazil,116247.03,BRL
2020-01-08,bovespa,brazil,115947.11,BRL
2020-01-09,bovespa,brazil,115503.42,BRL
2020-01-12,bovespa,brazil,117325.28,BRL
2020-01-13,bovespa,brazil,117632.4,BRL
2020-01-14,bovespa,brazil,116414.35,BRL
2020-01-15,bovespa,brazil,116704.21,BRL
2020-01-16,bovespa,brazil,118478.3,BRL
2020-01-19,bovespa,brazil,118861.63,BRL
2020-01-20,bovespa,brazil,117026.04,BRL
2020-01-21,bovespa,brazil,118391.36,BRL
2020-01-22,bovespa,brazil,119527.63,BRL
2020-01-23,bovespa,brazil,118376.36,BRL
2020-01-26,bovespa,brazil,114481.84,BRL
2020-01-27,bovespa,brazil,116478.98,BRL
2020-01-28,bovespa,brazil,115384.84,BRL
2020-01-29,bovespa,brazil,115528.04,BRL
2020-01-30,bovespa,brazil,113760.57,BRL
2020-02-02,bovespa,brazil,114629.21,BRL
2020-02-03,bovespa,brazil,115556.71,BRL
2020-02-04,bovespa,brazil,116028.27,BRL
2020-02-05,bovespa,brazil,115189.97,BRL
2020-02-06,bovespa,brazil,113770.29,BRL
2020-02-09,bovespa,brazil,112570.3,BRL
2020-02-10,bovespa,brazil,115370.61,BRL
2020-02-11,bovespa,brazil,116674.13,BRL
2020-02-12,bovespa,brazil,115662.4,BRL
2020-02-13,bovespa,brazil,114380.71,BRL
2020-02-16,bovespa,brazil,115309.08,BRL
2020-02-17,bovespa,brazil,114977.29,BRL
2020-02-18,bovespa,brazil,116517.59,BRL
2020-02-19,bovespa,brazil,114586.24,BRL
2020-02-20,bovespa,brazil,113681.42,BRL
2020-02-25,bovespa,brazil,105718.29,BRL
2020-02-26,bovespa,brazil,102983.54,BRL
2020-02-27,bovespa,brazil,104171.57,BRL
